Path,Offset,Length
/usr/source/s1/ed2.s,50176,1834
/usr/source/s1/ed3.s,52224,4414
/usr/source/s1/glob.c,56832,2994
/usr/source/s1/init.s,59904,2506
/usr/source/s1/ldx.s,62464,1546
/usr/source/s1/df.s,71680,827
/usr/source/s1/du.s,72704,1963
/usr/source/s1/fc.c,74752,1836
# Not in V5
/usr/source/s1/fstrip.s,76800,2512
/usr/source/s1/dc5.s,79360,5516
# Not in V5
/usr/source/s1/colon.s,84992,34
/usr/source/s1/ac.s,85504,4506
/usr/source/s1/dc4.s,90112,5386
/usr/source/s1/bas0.s,99328,3623
/usr/source/s1/getty.s,103424,2177
/usr/source/s1/ld1.s,105984,6327
/usr/source/s1/dc3.s,112640,5830
/usr/source/s1/dc2.s,118784,4453
/usr/source/s1/ls.s,123392,6658
/usr/source/s1/login.s,130560,3436
/usr/source/s1/date.s,134144,1376
/usr/source/s1/cmp.s,139776,1418
/usr/source/s1/as28.s,141312,948
/usr/source/s1/cat.s,142336,647
/usr/source/s1/dsw.s,143360,1010
/usr/source/s1/as27.s,144384,2822
/usr/source/s1/ln.s,147456,465
/usr/source/s1/as26.s,147968,4854
/usr/source/s1/chown.s,153088,1091
/usr/source/s1/as25.s,154624,16
/usr/source/s1/ar.s,155136,5685
/usr/source/s1/dc1.s,161280,16420
/usr/source/s1/as24.s,178176,1542
/usr/source/s1/as23.s,180224,1418
/usr/source/s1/as22.s,181760,1491
/usr/source/s1/as19.s,185856,6751
/usr/source/s1/as18.s,193024,1253
/usr/source/s1/as17.s,194560,2183
/usr/source/s1/as16.s,197120,2652
/usr/source/s1/db4.s,202240,1137
/usr/source/s1/db3.s,203776,6575
/usr/source/s1/db2.s,210432,3516
/usr/source/s1/as13.s,216576,1498
/usr/source/s1/as12.s,218112,800
/usr/source/s1/as11.s,219136,1029
/usr/source/s1/db1.s,220672,8597
/usr/source/s1/chmod.s,229376,338
/usr/source/s1/if.c,233984,1593
/usr/source/s1/cc.c,236032,4054
/usr/source/s1/form1.s,240128,447
/usr/source/s1/form5.s,243712,9757
/usr/source/s1/form6.s,253952,6477
/usr/source/s1/goto.c,260608,809
/usr/source/s1/form3.s,262656,1685
/usr/source/s1/fed1.s,267776,1183
/usr/source/s1/fed2.s,269312,5760
/usr/source/s1/fed3.s,277504,4192
/usr/source/s1/exit.c,275456,53
# TODO: path
segment275968.c,275968,1252

# TODO: cut
/usr/source/s1/as29.s,135680,3624

# TODO: trailing LF?
/usr/source/s1/ld2.s,64512,7168
/usr/source/s1/bas1.s,95744,3082
/usr/source/s1/as21.s,183296,2309
/usr/source/s1/as15.s,200192,1551
/usr/source/s1/as14.s,214016,2257
/usr/source/s1/cp.c,242688,920
/usr/source/s1/form2.s,261632,1019
/usr/source/s1/form4.s,264704,2820
